AL JASSIM ABDULRAHMAN,ÁRBITRO,CATAR
ALBERTO MORÍN,ASSISTENTE,MÉXICO
ALESSANDRO GIALLATINI,ASSISTENTE,ITÁLIA
ALIREZA FAGHANI,ÁRBITRO,IRÃ
ANDRAZ KOVACIC,ASSISTENTE,ESLOVÊNIA
ANDRÉS MATONTE,QUARTO ÁRBITRO,URUGUAI
ANTON SCHETININ,ASSISTENTE,AUSTRÁLIA
ARSENIO MARINGULE,ASSISTENTE,MOÇAMBIQUE
ASHLEY BEECHAM,ASSISTENTE,AUSTRÁLIA
BRUNO BOSCHILIA,ASSISTENTE,BRASIL
BRUNO RAPHAEL PIRES,ASSISTENTE,BRASIL
CÉSAR RAMOS,ÁRBITRO,MÉXICO
CHRIS BEATH,ÁRBITRO,AUSTRÁLIA
CIRO CARBONE,ASSISTENTE,ITÁLIA
CLÉMENT TURPIN,ÁRBITRO,FRANÇA
COREY PARKER,ASSISTENTE,EUA
CYRIL GRINGORE,ASSISTENTE,FRANÇA
DANIELE ORSATO,ÁRBITRO,ITÁLIA
DANILO RICARDO SIMON MANIS,ASSISTENTE,BRASIL
DAVID JONATHAN MORÁN SANTOS,ASSISTENTE,EL SAVADOR
DIEGO BONFA,ASSISTENTE,ARGENTINA
ESTÁDIO 974,ASSISTENTE,NI
EZEQUIEL BRAILOSVKY,ASSISTENTE,ARGENTINA
FACUNDO TELLO,ÁRBITRO,ARGENTINA
FERNANDO RAPALLINI,ÁRBITRO,ARGENTINA
