SZYMON MARCINIAK,ÁRBITRO,POLÔNIA
PAWEL SOKOLNICKI,ASSISTENTE,POLÔNIA
TOMASZ LISTKIEWICZ,ASSISTENTE,POLÔNIA
MICHAEL OLIVER,ÁRBITRO,INGLATERRA
STUART BURT,ASSISTENTE,INGLATERRA
SIMON BENNETT,ASSISTENTE,INGLATERRA
NICOLÁS TARÁN,ASSISTENTE,URUGUAI
MARTÍN SOPPI,ASSISTENTE,URUGUAI
DANNY MAKKELIE,ÁRBITRO,HOLANDA
HESSEL STEEGSTRA,ASSISTENTE,HOLANDA
JAN DE VRIES,ASSISTENTE,HOLANDA
ANTHONY TAYLOR,ÁRBITRO,INGLATERRA
GARY BESWICK,ASSISTENTE,INGLATERRA
ADAM NUNN,ASSISTENTE,INGLATERRA
ABDULRAHMAN AL-JASSIM,QUARTO ÁRBITRO,CATAR
BAKARY GASSAMA,ÁRBITRO,GAMBIA
ELVIS NOUPUE,ASSISTENTE,CAMARÕES
MAHMOUD AHMED KAMEL ABO EL REGAL,ASSISTENTE,EGITO
MATTHEW CONGER,ÁRBITRO,NOVA ZELÂNCIA
MARK RULE,ASSISTENTE,NOVA ZELÂNDIA
TEVITA MAKASINI,ASSISTENTE,TONGA
SALIMA MUKANSANGA,QUARTO ÁRBITRO,RUANDA
NEUZA INES BACK,ASSISTENTE,BRASIL
KAREN DIAZ MEDINA,ASSISTENTE,MÉXICO
KATHRYN NESBITT,ASSISTENTE,EUA
